Jul 05 04:26:13.279 INFO: manager: 2.0.1
Jul 05 04:26:13.280 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Jul 05 04:26:13.281 INFO: manager:   Intelligent Systems Research Institute, AIST,
Jul 05 04:26:13.281 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Jul 05 04:26:13.281 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Jul 05 04:26:13.282 INFO: manager:   All right reserved.
Jul 05 04:26:13.282 INFO: manager: Manager starting.
Jul 05 04:26:13.282 INFO: manager: Starting local logging.
Jul 05 04:26:13.411 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Jul 05 04:26:13.411 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Jul 05 04:26:13.453 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Jul 05 04:26:17.545 WARNING: ManagerServant: Master manager not found
Jul 05 04:26:17.546 INFO: LocalServiceAdmin: All the local services are enabled.
Jul 05 04:26:17.567 INFO: ec_base: setRate(1000000.000000) done
Jul 05 04:26:17.567 INFO: ec_base: setRate(1000.000000) done
Jul 05 04:26:17.568 INFO: Dynamixel0: 1 execution context was created.
Jul 05 04:26:17.569 INFO: Dynamixel0: onInitialize()
Jul 05 04:26:17.591 INFO: Dynamixel0: Initial active configuration set is default.
Jul 05 04:26:25.969 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Jul 05 04:26:31.742 INFO: ManagerServant: Master manager not found
Jul 05 04:26:41.862 INFO: ManagerServant: Master manager not found
Jul 05 04:26:48.793 INFO: Dynamixel0: onActivated()
Jul 05 04:26:48.939 INFO: Dynamixel0: m_initialPosition: 512, 512, 512, 512, 
Jul 05 04:26:48.939 INFO: Dynamixel0: m_initialSpeed: 100, 100, 100, 100, 
Jul 05 04:26:51.876 INFO: ManagerServant: Master manager not found
Jul 05 04:27:01.834 INFO: ManagerServant: Master manager not found
Jul 05 04:27:11.968 INFO: ManagerServant: Master manager not found
Jul 05 04:27:21.978 INFO: ManagerServant: Master manager not found
Jul 05 04:27:32.047 INFO: ManagerServant: Master manager not found
Jul 05 04:27:42.048 INFO: ManagerServant: Master manager not found
Jul 05 04:27:52.093 INFO: ManagerServant: Master manager not found
Jul 05 04:28:02.127 INFO: ManagerServant: Master manager not found
Jul 05 04:28:12.089 INFO: ManagerServant: Master manager not found
Jul 05 04:28:22.223 INFO: ManagerServant: Master manager not found
Jul 05 04:28:32.250 INFO: ManagerServant: Master manager not found
Jul 05 04:28:42.248 INFO: ManagerServant: Master manager not found
Jul 05 04:28:52.364 INFO: ManagerServant: Master manager not found
Jul 05 04:29:02.445 INFO: ManagerServant: Master manager not found
Jul 05 04:29:12.423 INFO: ManagerServant: Master manager not found
Jul 05 04:29:22.424 INFO: ManagerServant: Master manager not found
Jul 05 04:29:32.515 INFO: ManagerServant: Master manager not found
Jul 05 04:29:42.518 INFO: ManagerServant: Master manager not found
Jul 05 04:29:52.643 INFO: ManagerServant: Master manager not found
Jul 05 04:30:02.673 INFO: ManagerServant: Master manager not found
Jul 05 04:30:12.655 INFO: ManagerServant: Master manager not found
Jul 05 04:30:22.681 INFO: ManagerServant: Master manager not found
Jul 05 04:30:32.721 INFO: ManagerServant: Master manager not found
Jul 05 04:30:42.753 INFO: ManagerServant: Master manager not found
Jul 05 04:30:52.771 INFO: ManagerServant: Master manager not found
Jul 05 04:31:02.777 INFO: ManagerServant: Master manager not found
Jul 05 04:31:12.903 INFO: ManagerServant: Master manager not found
Jul 05 04:31:22.909 INFO: ManagerServant: Master manager not found
Jul 05 04:31:32.903 INFO: ManagerServant: Master manager not found
Jul 05 04:31:43.049 INFO: ManagerServant: Master manager not found
Jul 05 04:31:53.059 INFO: ManagerServant: Master manager not found
Jul 05 04:32:03.196 INFO: ManagerServant: Master manager not found
Jul 05 04:32:13.227 INFO: ManagerServant: Master manager not found
Jul 05 04:32:23.221 INFO: ManagerServant: Master manager not found
Jul 05 04:32:33.328 INFO: ManagerServant: Master manager not found
Jul 05 04:32:43.357 INFO: ManagerServant: Master manager not found
Jul 05 04:32:53.392 INFO: ManagerServant: Master manager not found
Jul 05 04:33:03.427 INFO: ManagerServant: Master manager not found
Jul 05 04:33:13.441 INFO: ManagerServant: Master manager not found
Jul 05 04:33:23.555 INFO: ManagerServant: Master manager not found
Jul 05 04:33:33.550 INFO: ManagerServant: Master manager not found
Jul 05 04:33:43.569 INFO: ManagerServant: Master manager not found
Jul 05 04:33:53.576 INFO: ManagerServant: Master manager not found
Jul 05 04:34:03.686 INFO: ManagerServant: Master manager not found
Jul 05 04:34:13.681 INFO: ManagerServant: Master manager not found
Jul 05 04:34:23.810 INFO: ManagerServant: Master manager not found
Jul 05 04:34:33.809 INFO: ManagerServant: Master manager not found
Jul 05 04:34:43.936 INFO: ManagerServant: Master manager not found
Jul 05 04:34:54.072 INFO: ManagerServant: Master manager not found
Jul 05 04:35:04.095 INFO: ManagerServant: Master manager not found
Jul 05 04:35:14.104 INFO: ManagerServant: Master manager not found
Jul 05 04:35:24.124 INFO: ManagerServant: Master manager not found
Jul 05 04:35:34.157 INFO: ManagerServant: Master manager not found
Jul 05 04:35:44.162 INFO: ManagerServant: Master manager not found
Jul 05 04:35:54.170 INFO: ManagerServant: Master manager not found
Jul 05 04:36:04.186 INFO: ManagerServant: Master manager not found
Jul 05 04:36:14.309 INFO: ManagerServant: Master manager not found
Jul 05 04:36:25.121 INFO: ManagerServant: Master manager not found
Jul 05 04:36:34.456 INFO: ManagerServant: Master manager not found
Jul 05 04:36:44.895 INFO: ManagerServant: Master manager not found
Jul 05 04:36:54.870 INFO: ManagerServant: Master manager not found
Jul 05 04:37:04.662 INFO: ManagerServant: Master manager not found
Jul 05 04:37:14.690 INFO: ManagerServant: Master manager not found
Jul 05 04:37:24.715 INFO: ManagerServant: Master manager not found
Jul 05 04:37:34.742 INFO: ManagerServant: Master manager not found
Jul 05 04:37:44.745 INFO: ManagerServant: Master manager not found
Jul 05 04:37:54.753 INFO: ManagerServant: Master manager not found
Jul 05 04:38:04.765 INFO: ManagerServant: Master manager not found
Jul 05 04:38:15.234 INFO: ManagerServant: Master manager not found
Jul 05 04:38:24.792 INFO: ManagerServant: Master manager not found
Jul 05 04:38:34.826 INFO: ManagerServant: Master manager not found
Jul 05 04:38:44.826 INFO: ManagerServant: Master manager not found
Jul 05 04:38:54.949 INFO: ManagerServant: Master manager not found
